pronombre,equipo,accesibilidad,pais,comunidad,nivel_educativo,area_formacion,investigacion,investigacion_anios,conoces_proyecto,conoces_pgd,conoces_hipotesis,conoces_datos,conoces_codigo,conoces_instrumentos,conoces_resultados1,conoces_resultados2,animas,importante_preregistrar,importante_instrumentos,importante_datosocodigo,importante_resultados1,importante_resultados2
Ella,"No, participaré por mi cuenta",NA,Argentina,Mujeres y géneros minoritarios,Posgrado completo,Ciencias Naturales y Exactas,Sí,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ella,"No, participaré por mi cuenta",subir grabación,Argentina,NA,Universitario/terciario completo,Ciencias de la Salud,Sí,2,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,"publicar los instrumentos usados para recolectar datos?, publicar datos o código en repositorios abiertos?, publicar resultados en revistas de acceso abierto?",Importante,Importante,Importante,Importante,Importante
El,"No, participaré por mi cuenta",NA,Argentina,Personas de origen socioeconómico desfavorecido,Universitario/terciario completo,Ciencias Naturales y Exactas,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ella,"No, participaré por mi cuenta","Hablando despacio, español es una lengua extranjera para mi. Subiendo la grabación también es algo que puede ayudar en caso de tener alguna dificultad para conectarse",Brasil,Mujeres y géneros minoritarios,Posgrado completo,Ciencias ambientales,Sí,9,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,publicar resultados en revistas de acceso abierto?,No sé,Muy importante,Muy importante,Muy importante,Muy importante
El,"No, participaré por mi cuenta",NA,Argentina,Personas de origen socioeconómico desfavorecido,Universitario/terciario incompleto,Tecnología y Arquitectura,Sí,1,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,"publicar datos o código en repositorios abiertos?, publicar resultados en revistas de acceso abierto?, difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Neutral,Neutral,Muy importante,Muy importante,Muy importante
El,"No, participaré por mi cuenta","Subiendo la grabación del evento, debido a que me gustaría repasar el contenido del mismos durante mis tiempos libres.",Argentina,NA,Universitario/terciario incompleto,Ciencias Sociales,Sí,9,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,"pre-registrar sus proyectos?, publicar datos o código en repositorios abiertos?, publicar resultados en revistas de acceso abierto?, difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Muy importante,Neutral,Muy importante,Muy importante,Muy importante
El,"Sí, participaré junto con otras personas con las que trabajo",NA,Argentina,NA,Universitario/terciario incompleto,Ingenierías,No,NA,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,No aplica/No sé/Prefiero no contestar,He aplicado la práctica,NA,Muy importante,Neutral,Importante,Neutral,Importante
El,"Sí, participaré junto con otras personas con las que trabajo",usando comunicación por escrito o subiendo la grabación del evento para verlo en diferido en caso de problemas de conexión,Argentina,Personas de origen socioeconómico desfavorecido,Secundario completo,Ciencias Naturales y Exactas,No,NA,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,"pre-registrar sus proyectos?, publicar los instrumentos usados para recolectar datos?, publicar datos o código en repositorios abiertos?, publicar resultados en revistas de acceso abierto?, difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",No sé,No sé,No sé,No sé,No sé
El,"Sí, participaré junto con otras personas con las que trabajo",Grabación del evento en caso de mala conexión,Argentina,Personas de origen socioeconómico desfavorecido,Secundario completo,Ingenierías,No,NA,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,"difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Importante,Importante,Neutral,Neutral,Importante
El,"Sí, participaré junto con otras personas con las que trabajo",Grabación del evento,Argentina,Personas de origen socioeconómico desfavorecido,Secundario completo,Ingenierías,Sí,1,He aplicado la práctica,No conozco esta práctica,No conozco esta práctica,He aplicado la práctica,No aplica/No sé/Prefiero no contestar,He aplicado la práctica,He aplicado la práctica,No conozco esta práctica,pre-registrar sus proyectos?,Importante,Poco importante,Poco importante,Poco importante,Nada importante
